Title,Source,URL,Published At,Description
ExxonMobil (XOM) Reveals Hammerhead Project Development Plan,Yahoo Entertainment,https://finance.yahoo.com/news/exxonmobil-xom-reveals-hammerhead-project-131100776.html,2024-07-16T13:11:00Z,ExxonMobil's (XOM) development plan for Hammerhead involves drilling up to 30 wells. The company plans to use a Very Large Crude Carrier conversion facility ...
Tesla robotaxi won't be ready for scale until 2030: Analyst,Yahoo Entertainment,https://finance.yahoo.com/video/tesla-robotaxi-wont-ready-scale-151912360.html,2024-07-12T15:19:12Z,Tesla (TSLA) shares are trading higher on Friday despite a Bloomberg report indicating a two-month delay in unveiling the company's highly anticipated...
"Tesla is building a robotaxi, but there's a hidden cost",Yahoo Entertainment,https://finance.yahoo.com/video/tesla-building-robotaxi-theres-hidden-120040525.html,2024-07-20T12:00:40Z,"Tesla (TSLA) will report its latest quarterly report on Tuesday, July 23 after the closing bell with investors patiently awaiting any news on its robotaxi..."
Cathie Wood says she wouldn't have sold Nvidia stake 'had we known that the market was going to reward it',Business Insider,https://www.businessinsider.com/cathie-wood-would-have-held-nvidia-if-knew-going-up-2024-7,2024-07-15T07:32:21Z,"Cathie Wood's investment fund, Ark Invest sold at least $4.5 million worth of Nvidia stock this year, per The Wall Street Journal."
TD Cowen raises AAPL target to $250 on AI and China sales,AppleInsider,https://appleinsider.com/articles/24/07/29/td-cowen-raises-aapl-target-to-250-on-ai-and-china-sales,2024-07-29T11:01:32Z,"Investment analyst firm TD Cowen predicts that Apple Intelligence will bring a modest boost to the iPhone 16 range, but be much more significant in 2025, by when China sales are expected to have returned to growth.Render of the iPhone 16 rangeAhead of Apple's…"
Cathie Wood is buying the dip with CrowdStrike,Business Insider,https://www.businessinsider.com/cathie-wood-is-buying-the-dip-with-crowdstrike-2024-7,2024-07-23T05:31:29Z,"According to Barron's, two of Wood's exchange-traded funds bought nearly $12 million of CrowdStrike stock after last week's global tech outage."
Apple (APPL) Third Quarter Earnings: When is it and what can we expect?,ReadWrite,https://readwrite.com/apple-appl-third-quarter-earnings-when-is-it-and-what-can-we-expect/,2024-07-31T10:52:08Z,"Apple will report its third-quarter earnings for the fiscal year this week and investors will be the world’s most valuable… Continue reading Apple (APPL) Third Quarter Earnings: When is it and what can we expect?
The post Apple (APPL) Third Quarter Earnings: …"
Tesla keeps touting self-driving but one analyst's near-crash shows it's 'not even close' to autonomy,Business Insider,https://www.businessinsider.com/analyst-says-near-tesla-crash-tesla-shows-fsd-not-ready-2024-7,2024-07-30T16:39:27Z,"A Truist Analyst tested Tesla's FSD and said he had to make three interventions, one of which would have led to a ""certain accident."""
Is Chevron A Better Integrated Oil Major Pick Over Exxon Mobil?,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/18/is-chevron-a-better-integrated-oil-major-pick-over-exxon-mobil/,2024-07-18T09:00:00Z,We believe that Chevron Corporation (NYSE: CVX) is a better pick than its industry peer. Exxon Mobil (NYSE: XOM). CVX stock trades at a slightly higher multiple of 1.5x..
"Market Clubhouse Morning Memo - July 31st, 2024 (Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA)",Biztoc.com,https://biztoc.com/x/b5e3390e748203cd,2024-07-31T14:23:54Z,"Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA.
Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account pr…"
Rotation To Small-Cap From Tech Stocks Continues,Forbes,https://www.forbes.com/sites/bill_stone/2024/07/28/rotation-to-small-cap-from-tech-stocks-continues/,2024-07-28T09:22:42Z,"Earnings season kicks off its busiest week, with four Magnificent 7 technology stocks. In addition, the Fed meeting and the monthly jobs report provide crucial data."
Easing Inflation Ignites Fed Expectations And Small-Cap Stocks,Forbes,https://www.forbes.com/sites/bill_stone/2024/07/14/easing-inflation-ignites-fed-expectations-and-small-cap-stocks/,2024-07-14T11:00:00Z,"While earnings season has begun well, inflation was primarily responsible for the broad rally. Earnings, retail sales, and Fedspeak will be the focal points this week."
"JPMorgan Stock Is Up 21% YTD, What To Expect From Q2 Results?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/10/jpmorgan-stock-is-up-21-ytd-what-to-expect-from-q2-results/,2024-07-10T10:00:44Z,"JPMorgan (NYSE: JPM) stock has gained 21% YTD, as compared to the 17% rise in the S&P500 index. Notably, JPMorgan’s peer Citigroup (NYSE: C) is up 22% YTD."
Will Pfizer Stock Post A Downbeat Q2?,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/26/will-pfizer-stock-post-a-downbeat-q2/,2024-07-26T14:00:30Z,"The company is likely to see higher sales, led by an uptick in Eliquis and Prevnar sales. However, we think that the top-line may fall short of analyst expectations.."
1JPM: A Maven/Gradle alternative in a single Java file,Github.com,https://github.com/Osiris-Team/1JPM,2024-07-08T15:45:40Z,"1 Java Project Manager, is a Maven/Gradle alternative with a twist. Its a single Java file itself, which should be edited by you to configure your project. - Osiris-Team/1JPM"
Pfizer Vs. Eli Lilly Stock – Which Is A Better Pick?,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/11/pfizer-vs-eli-lilly-stock--which-is-a-better-pick/,2024-07-11T13:30:50Z,"We believe that Eli Lilly stock (NYSE: LLY) is currently a better pick than its industry peer – Pfizer stock, given its better prospects."
10 to 15% of portfolio should be in SMID caps: BMO's Belski,Yahoo Entertainment,https://finance.yahoo.com/video/10-15-portfolio-smid-caps-141354555.html,2024-07-23T14:13:54Z,"US equities (^GSPC, ^DJI, ^IXIC) waver in pre-market hours as the market patiently awaits Big Tech earnings reports out from Alphabet (GOOG, GOOGL) and Tesla..."
Technology Stocks Sink Despite Better Earnings,Forbes,https://www.forbes.com/sites/bill_stone/2024/07/21/technology-stocks-sink-despite-better-earnings/,2024-07-21T11:00:00Z,The 2nd busiest week of earnings includes Magnificent 7 companies and 2Q GDP. The rise of small-caps and banks illustrates the expectations of rate cuts and no recession.
Technical Assessment: Bullish in the Intermediate-Term,Yahoo Entertainment,https://finance.yahoo.com/research/reports/ARGUS_40491_TechnicalAnalysis_1720004817000/,2024-07-03T11:06:57Z,"Find the latest KLA Corporation (KLAC) stock forecast based on top analyst's estimates, plus more investing and trading data from Yahoo Finance"
Tesla’s Energy Business Grew 2x In Q2. What’s Next?,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/25/teslas-energy-business-grew-2x-in-q2-whats-next/,2024-07-25T11:00:00Z,"Tesla published a mixed set of Q2 2024 results on July 23, with automotive revenue declining by close to 7% year-over-year and earnings declining by 42%"
The Magnificent Seven Stocks Suffer Their Worst Market Cap Loss In Two Years,Investor's Business Daily,https://www.investors.com/news/sp-500-magnificent-seven-stocks-market-cap-loss/,2024-07-18T12:27:33Z,The seven titans have lost $1.13 trillion in market cap in 5 days.
"After 50% Move Last Month, Where Is Tesla Stock Headed Post Q2 Earnings?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/11/after-50-move-last-month-where-is-tesla-stock-headed-post-q2-earnings/,2024-07-11T10:30:32Z,"Tesla is expected to publish its Q2 2024 results on July 23, reporting on a quarter that saw the company deliver 443,956 vehicles. While the numbers were ahead of.."
Tesla Stock Roars Back As Some Analysts Buy Into Full Self-Driving Hype,Forbes,https://www.forbes.com/sites/dereksaul/2024/07/29/tesla-stock-roars-back-as-some-analysts-buy-into-full-self-driving-hype/,2024-07-29T16:02:46Z,"“Tesla may have solved the self-driving puzzle, don’t roll your eyes, buy TSLA,” said one analyst."
R Dygraphs: How To Visualize Time Series Data In R And R Shiny,R-bloggers.com,https://www.r-bloggers.com/2024/07/r-dygraphs-how-to-visualize-time-series-data-in-r-and-r-shiny/,2024-07-02T07:00:03Z,"When it comes to finding an R package capable of making interactive visualizations out of the box while also working flawlessly with R Shiny, you don’t have that many options. Sure, there’s Highcarts, but what if you’re looking for something more specialized …"
Will Apple’s Q3 Results Get An AI Bump?,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/22/will-apples-q3-results-get-an-ai-bump/,2024-07-22T10:30:00Z,"Apple is expected to publish its Q3 FY’24 results on August 1, reporting on a quarter that is likely to see the company’s business improve, driven by higher Mac, services"
What’s Happening With Chevron’s Stock?,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/10/whats-happening-with-chevrons-stock/,2024-07-10T14:00:35Z,"Almost flat year-to-date, at the current price of around $154 per share, we believe Chevron Corporation (NYSE: CVX), a company manufacturing and selling a range of.."
Tesla Stock Earnings Preview: Is It A Buy Now Or Later?,Forbes,https://www.forbes.com/sites/investor-hub/article/tesla-tsla-stock-earnings-preview-buy-now-later/,2024-07-17T15:56:01Z,Tesla’s latest earnings report is coming out soon. We review if TSLA stock is a buy now or later and what investors should watch for ahead of earnings.
"Tesla stock rises again, extending monster 40% rally over the past month",Autoblog,https://www.autoblog.com/2024/07/05/tesla-stock-rises-again-extending-monster-40-rally-over-the-past-month/,2024-07-05T15:57:00Z,"Filed under:
 Earnings/Financials,Green,Tesla,Electric
 Continue reading Tesla stock rises again, extending monster 40% rally over the past month
Tesla stock rises again, extending monster 40% rally over the past month originally appeared on Autoblog on Fri, …"
"Tesla’s Q2 Deliveries Strong, But What’s To Come?",Forbes,https://www.forbes.com/sites/bethkindig/2024/07/11/teslas-q2-deliveries-strong-but-whats-to-come/,2024-07-12T01:48:46Z,"After being one of the lowest performing Mag 7 stocks, Tesla stock saw rapid gains, up 42% in a 1 month rally. We assess what's next after TSLA beat Q2 delivery estimates."
Credit Card Charge-Offs Rose in the First Half of 2024. Is JPMorgan Chase Bracing for a Recession?,Biztoc.com,https://biztoc.com/x/a4191f96844496a7,2024-07-19T11:16:56Z,"For the 10th consecutive quarter, charge-offs for credit cards at JPMorgan Chase (NYSE: JPM) rose, indicating that increasing numbers of people are struggling to keep up with their growing debt. In the second quarter, the largest bank in the U.S. charged off …"
"Capital One Stock Is Trailing S&P500 By 8% YTD, What To Expect?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/02/capital-one-stock-is-trailing-sp500-by-8-ytd-what-to-expect/,2024-07-02T13:00:11Z,"Amid the current financial backdrop, COF stock has shown strong gains of 40% from levels of $100 in early January 2021 to around $140 now, vs. an increase of about.."
Steve Jobs net worth: How rich could he have been?,Biztoc.com,https://biztoc.com/x/9d23642550b9b725,2024-07-13T23:35:42Z,"In 1997, Apple ( (AAPL) ) launched its “Think Different” advertising campaign, celebrating the misfits, rebels, and revolutionaries whose unique ideas changed the world. 
The popular campaign, which sparked Apple’s massive, multi-billion-dollar turnaround, fe…"
